student_id,course_id,grade,rank
student0@school.com,C0,A,90
student1@school.com,C0,B,88
student2@school.com,C0,A,97
student3@school.com,C0,C,77
student0@school.com,C1,A,94
student5@school.com,C1,B,85
student6@school.com,C1,C,76
student7@school.com,C1,B,82
student8@school.com,C1,A,94
student9@school.com,C2,A,89
student0@school.com,C2,B,81
student11@school.com,C2,C,72
student12@school.com,C2,D,65
student13@school.com,C2,F,58
student14@school.com,C3,A,93
student15@school.com,C3,B,80
student16@school.com,C3,C,74
student17@school.com,C3,D,67
student18@school.com,C3,F,55
student19@school.com,C4,A,96
student20@school.com,C4,B,86
student21@school.com,C4,C,78
student22@school.com,C4,D,64
student23@school.com,C4,F,59
student24@school.com,C0,B,82
student25@school.com,C0,A,91
student26@school.com,C1,B,79
student27@school.com,C1,C,70
student28@school.com,C2,A,95
student29@school.com,C2,B,83
student30@school.com,C3,A,90
student31@school.com,C3,B,87
student32@school.com,C4,A,92
student33@school.com,C4,B,80
student34@school.com,C0,C,73
student35@school.com,C0,B,86
student36@school.com,C1,A,98
student37@school.com,C1,C,75
student38@school.com,C2,B,84
student39@school.com,C2,A,91
student40@school.com,C3,C,69
student41@school.com,C3,B,80
student42@school.com,C4,C,74
student43@school.com,C4,D,63
student44@school.com,C0,A,96
student45@school.com,C0,C,79
student46@school.com,C1,B,81
student47@school.com,C1,A,94
student48@school.com,C2,C,72
student49@school.com,C2,B,88
