email,first_name,last_name,rank,course_id
prof0@school.com,ProfFirst0,ProfLast0,Associate,C0
prof1@school.com,ProfFirst1,ProfLast1,Associate,C1
prof2@school.com,ProfFirst2,ProfLast2,Associate,C2
prof3@school.com,ProfFirst3,ProfLast3,Associate,C3
prof4@school.com,ProfFirst4,ProfLast4,Associate,C4
prof5@school.com,ProfFirst5,ProfLast5,Associate,C5
prof6@school.com,ProfFirst6,ProfLast6,Associate,C6
prof7@school.com,ProfFirst7,ProfLast7,Associate,C7
prof8@school.com,ProfFirst8,ProfLast8,Associate,C8
prof9@school.com,ProfFirst9,ProfLast9,Associate,C9
prof10@school.com,ProfFirst10,ProfLast10,Associate,C10
prof11@school.com,ProfFirst11,ProfLast11,Associate,C11
prof12@school.com,ProfFirst12,ProfLast12,Associate,C12
prof13@school.com,ProfFirst13,ProfLast13,Associate,C13
prof14@school.com,ProfFirst14,ProfLast14,Associate,C14
prof15@school.com,ProfFirst15,ProfLast15,Associate,C15
prof16@school.com,ProfFirst16,ProfLast16,Associate,C16
prof17@school.com,ProfFirst17,ProfLast17,Associate,C17
prof18@school.com,ProfFirst18,ProfLast18,Associate,C18
prof19@school.com,ProfFirst19,ProfLast19,Associate,C19
prof20@school.com,ProfFirst20,ProfLast20,Associate,C20
prof21@school.com,ProfFirst21,ProfLast21,Associate,C21
prof22@school.com,ProfFirst22,ProfLast22,Associate,C22
prof23@school.com,ProfFirst23,ProfLast23,Associate,C23
prof24@school.com,ProfFirst24,ProfLast24,Associate,C24
prof25@school.com,ProfFirst25,ProfLast25,Associate,C25
prof26@school.com,ProfFirst26,ProfLast26,Associate,C26
prof27@school.com,ProfFirst27,ProfLast27,Associate,C27
prof28@school.com,ProfFirst28,ProfLast28,Associate,C28
prof29@school.com,ProfFirst29,ProfLast29,Associate,C29
prof30@school.com,ProfFirst30,ProfLast30,Associate,C30
prof31@school.com,ProfFirst31,ProfLast31,Associate,C31
prof32@school.com,ProfFirst32,ProfLast32,Associate,C32
prof33@school.com,ProfFirst33,ProfLast33,Associate,C33
prof34@school.com,ProfFirst34,ProfLast34,Associate,C34
prof35@school.com,ProfFirst35,ProfLast35,Associate,C35
prof36@school.com,ProfFirst36,ProfLast36,Associate,C36
prof37@school.com,ProfFirst37,ProfLast37,Associate,C37
prof38@school.com,ProfFirst38,ProfLast38,Associate,C38
prof39@school.com,ProfFirst39,ProfLast39,Associate,C39
prof40@school.com,ProfFirst40,ProfLast40,Associate,C40
prof41@school.com,ProfFirst41,ProfLast41,Associate,C41
prof42@school.com,ProfFirst42,ProfLast42,Associate,C42
prof43@school.com,ProfFirst43,ProfLast43,Associate,C43
prof44@school.com,ProfFirst44,ProfLast44,Associate,C44
prof45@school.com,ProfFirst45,ProfLast45,Associate,C45
prof46@school.com,ProfFirst46,ProfLast46,Associate,C46
prof47@school.com,ProfFirst47,ProfLast47,Associate,C47
prof48@school.com,ProfFirst48,ProfLast48,Associate,C48
prof49@school.com,ProfFirst49,ProfLast49,Associate,C49
